id,name,countries,status,regions,websites
4add9c391fb15cef817112a39974847f8e0a4ba4,Oberbalmberg,Switzerland,operating,Solothurn,https://www.balmberg.ch/
7277bf74f039a04436b31319dea2f6d3ee519172,Gantrisch - Ottenleue,Switzerland,operating,Bern,
f5023cc992ce7e785b7226435512549698ee597b,Cimetta,Switzerland,operating,Ticino,https://www.cardada.ch/
97e9df8fc8d999cf9e62628866e49af00598fba0,Skipisten Titlis Bergbahnen,Switzerland,operating,Bern;Nidwalden;Obwalden,https://www.engelberg.ch/
dd92418e2339f01d9ac627d37d2f4400f2c8cf52,Sulzberg,Austria,operating,Vorarlberg,
943183ebe2e1c06343dff51a7b2a160f714b6242,Gluringen,Switzerland,operating,Valais,https://www.skilift-gluringen.ch/
e875d3c5adf4188fb7bed263f97f1460bff54804,Hohwald Beatenberg,Switzerland,operating,Bern,https://www.skilift-hohwald.ch/
4a0d875283a83aa0523113b92e33f76cf5193439,Lombachalp,Switzerland,operating,Bern,
8c8a9c4d39a5fd71db816b5498b2f1b1f4bd56f1,Heimenschwand,Switzerland,operating,Bern,
c01376f1c670a363504c2daa82cba5637ace5fd4,Feldenmaas,Switzerland,operating,Zurich,
d0d567e8794594f471c6405b53b4a74065ece962,Horben,Switzerland,operating,Aargau;Lucerne,
d554470eda0dd9a0f2e186a22dc5d31ad810e868,Sur Lyand,France,operating,Ain,https://sur-lyand.hautrhone-tourisme.fr/
d007ecfc82d38110b74f5dc8015df97eefb8fa6b,Hohe Winde,Switzerland,operating,Solothurn,https://www.hohe-winde.ch/
ef69ec0b4ad6c5eb977cf12047c925e451770ca7,Grandval,Switzerland,operating,Bern;Solothurn,
2e9f9eacafa4e8547af611b73b19941325210b17,Biel - Kinzig,Switzerland,operating,Uri,https://www.biel-kinzigag.ch/
e590783c7aa60d0a4a7661d4d844bbda278a4ceb,Mosnang,Switzerland,operating,Saint Gallen,https://www.skiliftmosnang.ch
ed1dc3eea539c61f394bd02c508be3f2367859ab,Atzmännig,Switzerland,operating,Saint Gallen,https://www.atzmaennig.ch/
fd054fb221b828ba33390fec3045df16257f39e6,Eggberge,Switzerland,operating,Uri,https://www.eggberge.ch/
1fbb0079-d708-4d61-9993-a88112d522e6,,Russia,operating,Ulyanovsk,
6a646a7a-124e-46c0-b2ed-3d8691a9bc9e,,Belarus,operating,Haradzyenskaya Voblasts',
b77626c8-4623-4789-b845-232b5d7b500b,,Norway,operating,Vestfold og Telemark,
f49374161631a86dc10c4f731530f9d86c16118a,Thaler Höhe,Germany,operating,Bavaria,https://www.thaler-hoehe.de/
aec5caa1a22aa8c001152b8647272f769c92f583,Speicher,Switzerland,operating,Appenzell Ausserrhoden;Saint Gallen,https://skilifte-speicher.ch/
e2af747efd49dbff8660626019c103ce40970096,Burgfelden,Germany,operating,Baden-Württemberg,
e3edd0612360094bde3fb157a6ba62d252f5cca4,Aggershausen,Germany,operating,Baden-Württemberg,
